DeviceType,NodeId,Position x,Position y,DistanceToClosestGW,DataRateIndex
4282,1,2266.02,-332.424,2290.28,4
4283,1,325.845,887.32,945.258,5
4284,1,4515.11,2586.99,5203.72,0
4285,1,3058.84,4947.34,5816.59,0
4286,1,4122.83,-3401.22,5344.72,0
4287,1,-3635.54,-56.042,3635.98,2
4288,1,-1423.79,4483.65,4704.29,0
4289,1,-2242.18,2176.74,3124.99,2
4290,1,3710.52,-1675.52,4071.28,1
4291,1,-1150.64,-3409.8,3598.71,2
4292,1,-1090.97,1343.8,1730.9,5
4293,1,3011.76,-2027.15,3630.43,2
4294,1,74.0045,2209.43,2210.67,4
4295,1,262.971,307.356,404.501,5
4296,1,-925.189,2717.23,2870.42,3
4297,1,-2151.18,-4527,5012.11,0
4298,1,-413.757,4179.58,4200.01,1
4299,1,870.875,-3936.23,4031.42,1
4300,1,5742.59,44.8159,5742.77,0
4301,1,1068.1,-5903.67,5999.52,0
4302,1,-4711.29,-2023.55,5127.48,0
4303,1,852.056,1615.61,1826.52,5
4304,1,1902.02,-5072.54,5417.41,0
4305,1,4200.04,870.121,4289.23,1
4306,1,5421.73,-614.681,5456.46,0
4307,1,-5294.04,-1685.65,5555.92,0
4308,1,4496.16,-69.0192,4496.69,1
4309,1,-572.878,3065.49,3118.56,2
4310,1,-3068.63,-352.124,3088.76,2
4311,1,-3557.91,-4545.58,5772.44,0
4312,1,3833.5,722.964,3901.07,1
4313,1,5384.72,1577.25,5610.96,0
4314,1,-4495.46,-3251.96,5548.37,0
4315,1,-990.73,-1812.46,2065.56,4
4316,1,29.3308,-5219.16,5219.24,0
4317,1,562.469,2405.59,2470.47,3
4318,1,-5107.18,-2268.14,5588.18,0
4319,1,3203.44,1070.36,3377.53,2
4320,1,2581.72,-2675.53,3718.03,2
4321,1,-320.547,5614.29,5623.43,0
4322,1,2676.95,3828.98,4671.96,0
4323,1,-4511.12,2808.94,5314.16,0
4324,1,841.614,-1642.73,1845.78,5
4325,1,243.023,-505.867,561.214,5
4326,1,-3632.34,1365.33,3880.47,1
4327,1,494.166,955.789,1075.98,5
4328,1,-2804.82,127.501,2807.72,3
4329,1,-4729.16,-2589.6,5391.75,0
4330,1,689.27,-4141.47,4198.44,1
4331,1,-3950.06,-926.477,4057.26,1
4332,1,4097.47,158.985,4100.55,1
4333,1,5975.04,1158.98,6086.41,0
4334,1,987.037,-2524.38,2710.49,3
4335,1,-2472.83,5344.77,5889.1,0
4336,1,-1384.25,5224.4,5404.67,0
4337,1,295.525,5576.17,5584,0
4338,1,-3958.01,-150.327,3960.86,1
4339,1,-4430.64,482.343,4456.82,1
4340,1,3151.48,1662.52,3563.12,2
4341,1,-4694.8,2775.71,5453.96,0
4342,1,-839.966,-803.856,1162.64,5
4343,1,4986.08,2695.91,5668.23,0
4344,1,-876.807,5736.65,5803.27,0
4345,1,1482.15,-4976.22,5192.26,0
4346,1,-983.123,-2063.87,2286.07,4
4347,1,2783.4,-225.345,2792.51,3
4348,1,-2460.37,-1052.64,2676.09,3
4349,1,-1927.32,2007.75,2783.1,3
4350,1,-2361.4,-4026.58,4667.93,0
4351,1,3581.06,-3733.13,5173.03,0
4352,1,2431.74,1473.58,2843.38,3
4353,1,889.724,-1257.42,1540.36,5
4354,1,2654.88,3277.32,4217.73,1
4355,1,-4927.16,3023.31,5780.77,0
4356,1,5613.66,634.388,5649.39,0
4357,1,912.947,-3437.56,3556.72,2
4358,1,1805.54,-90.0246,1807.78,5
4359,1,5584.66,1233.72,5719.31,0
4360,1,4342.98,2164.14,4852.32,0
4361,1,1299.28,1795.03,2215.91,4
4362,1,-2588.47,-4338.67,5052.15,0
4363,1,-1995.25,125.029,1999.16,4
4364,1,1591.78,2740.41,3169.17,2
4365,1,3164.91,640.681,3229.1,2
4366,1,420.201,1477.55,1536.13,5
4367,1,2547.66,62.7295,2548.43,3
4368,1,-2485.06,4751.69,5362.28,0
4369,1,1883.56,2123.57,2838.54,3
4370,1,3210.75,1817.42,3689.44,2
4371,1,-400.686,-161.323,431.943,5
4372,1,3802.62,-1820.32,4215.86,1
4373,1,-5124.46,2628.43,5759.23,0
4374,1,3415.78,-786.133,3505.07,2
4375,1,-5276.72,-302.122,5285.36,0
4376,1,4724.04,3709.8,6006.59,0
4377,1,2156.98,1463.49,2606.6,3
4378,1,416.87,5648.03,5663.39,0
4379,1,1873.17,282.127,1894.3,5
4380,1,3547.48,4480.05,5714.5,0
4381,1,3092.87,2493.9,3973.08,1
4382,1,653.939,-1065.35,1250.04,5
4383,1,-5557.1,-1440.53,5740.77,0
4384,1,-550.191,3240.48,3286.86,2
4385,1,-451.028,2606,2644.74,3
4386,1,1628.22,-3596.25,3947.68,1
4387,1,-3930.48,-4160,5723.13,0
4388,1,4194.85,-502.155,4224.8,1
4389,1,-3116.86,-2033.53,3721.57,2
4390,1,-4390.72,-3441.16,5578.53,0
4391,1,1831.21,-4405.05,4770.52,0
4392,1,3814.16,2124.05,4365.71,1
4393,1,-5074,-1575.6,5313,0
4394,1,-2444.35,3655.47,4397.42,1
4395,1,4273.86,1810.75,4641.63,0
4396,1,-3203.65,2858.98,4293.85,1
4397,1,-2294.49,-1644.97,2823.23,3
4398,1,3888.97,888.278,3989.12,1
4399,1,-1294.99,1076.23,1683.83,5
4400,1,650.773,-1828.55,1940.9,5
4401,1,1576.23,-3976.67,4277.66,1
4402,1,3466.01,-4451.24,5641.52,0
4403,1,1593.37,5706.7,5924.97,0
4404,1,-894.681,-5223.73,5299.79,0
4405,1,778.064,-3430.09,3517.23,2
4406,1,4695.75,3728.93,5996.25,0
4407,1,-1654.3,-747.695,1815.43,5
4408,1,-1370.05,828.346,1601,5
4409,1,3705.09,2511.91,4476.31,1
4410,1,402.978,3159.09,3184.69,2
4411,1,4630.08,-1775.02,4958.66,0
4412,1,3054.84,-4203.36,5196.18,0
4413,1,1799.88,986.767,2052.63,4
4414,1,4300.83,1189.64,4462.33,1
4415,1,2357.01,-286.958,2374.41,4
4416,1,1622.31,-3223.8,3608.99,2
4417,1,800.071,2389.7,2520.07,3
4418,1,-1240.62,3180.52,3413.92,2
4419,1,-1309.79,-872.027,1573.52,5
4420,1,3352.86,2678.59,4291.44,1
4421,1,2259.79,-5552.1,5994.37,0
4422,1,602.468,-4394.12,4435.23,1
4423,1,-4627.02,3218.83,5636.51,0
4424,1,-1121.85,-530.807,1241.09,5
4425,1,-1750.89,-2820.81,3320.03,2
4426,1,-2818.39,2674.1,3885.12,1
4427,1,4243.33,-3101.11,5255.74,0
4428,1,-4038.91,4359.9,5943.19,0
4429,1,-5082.04,-1054.79,5190.35,0
4430,1,1852.58,3085.97,3599.34,2
4431,1,-4262.96,3352.87,5423.52,0
4432,1,220.024,-1938,1950.45,5
4433,1,-2455.74,-1652.39,2959.91,3
4434,1,80.9669,-5830.71,5831.27,0
4435,1,-3510.01,2043.21,4061.39,1
4436,1,5462.66,-301.503,5470.98,0
4437,1,-3148.93,-862.012,3264.78,2
4438,1,-4685.7,-1431.72,4899.55,0
4439,1,3757.74,4008.92,5494.73,0
4440,1,2169.02,859.516,2333.11,4
4441,1,-1827.07,3099.46,3597.89,2
4442,1,-3937.15,2207.8,4513.93,1
4443,1,1568.39,2596.51,3033.43,2
4444,1,4201.81,-1665.58,4519.88,1
4445,1,4616.92,699.613,4669.62,0
4446,1,-880.381,5098.68,5174.13,0
