Time,TraceSource,NodeId,MsgType,TxRemaining,PacketHex,PacketLength
321.807006529,USMsgRx,4381,2,0,35feffffffffffff,8
322.088783923,USMsgRx,719,2,0,33feffffffffffff,8
322.282367544,USMsgRx,516,2,0,32feffffffffffff,8
322.650884512,USMsgRx,3597,2,0,34feffffffffffff,8
322.732056140,USMsgRx,2517,2,0,30feffffffffffff,8
322.855662479,USMsgRx,3449,2,0,31feffffffffffff,8
323.160578296,USMsgRx,3953,2,0,2ffeffffffffffff,8
324.432734769,USMsgRx,4549,2,0,2efeffffffffffff,8
324.975900123,USMsgRx,4397,2,0,2bfeffffffffffff,8
325.259418946,USMsgRx,4609,2,0,2cfeffffffffffff,8
326.573070616,USMsgRx,452,2,0,26feffffffffffff,8
327.221991181,USMsgRx,2022,2,0,27feffffffffffff,8
327.451454836,USMsgRx,923,2,0,25feffffffffffff,8
328.605399896,USMsgRx,2373,2,0,24feffffffffffff,8
331.686385324,USMsgRx,4310,2,0,1ffeffffffffffff,8
331.888219840,USMsgRx,1437,2,0,1dfeffffffffffff,8
331.953995169,USMsgRx,4298,2,0,20feffffffffffff,8
333.060664563,USMsgRx,4619,2,0,17feffffffffffff,8
333.264050792,USMsgRx,4246,2,0,1afeffffffffffff,8
333.808956493,USMsgRx,3593,2,0,1bfeffffffffffff,8
334.094182749,USMsgRx,564,2,0,16feffffffffffff,8
336.340835153,USMsgRx,3065,2,0,0efeffffffffffff,8
337.127501253,USMsgRx,4536,2,0,0cfeffffffffffff,8
337.661673139,USMsgRx,4906,2,0,09feffffffffffff,8
338.701422665,USMsgRx,4519,2,0,05feffffffffffff,8
338.919107524,USMsgRx,1249,2,0,06feffffffffffff,8
339.674418537,USMsgRx,3843,2,0,03feffffffffffff,8
340.476471019,USMsgRx,4926,2,0,02feffffffffffff,8
341.250938475,USMsgRx,3344,2,0,01feffffffffffff,8
343.326850763,USMsgRx,3366,2,0,fbfdffffffffffff,8
344.738684324,USMsgRx,3846,2,0,fafdffffffffffff,8
345.383649755,USMsgRx,2406,2,0,f4fdffffffffffff,8
345.692022859,USMsgRx,1696,2,0,f5fdffffffffffff,8
345.899791971,USMsgRx,4385,2,0,f2fdffffffffffff,8
346.629516107,USMsgRx,2886,2,0,f3fdffffffffffff,8
346.831048781,USMsgRx,2564,2,0,f1fdffffffffffff,8
347.756775264,USMsgRx,3637,2,0,ecfdffffffffffff,8
347.984615855,USMsgRx,3677,2,0,eefdffffffffffff,8
347.999209033,USMsgRx,859,2,0,ebfdffffffffffff,8
348.057324583,USMsgRx,4899,2,0,e9fdffffffffffff,8
348.959116545,USMsgRx,4147,2,0,e7fdffffffffffff,8
349.601483133,USMsgRx,2257,2,0,e4fdffffffffffff,8
349.695480930,USMsgRx,2528,2,0,e3fdffffffffffff,8
350.105491288,USMsgRx,840,2,0,e2fdffffffffffff,8
352.013936324,USMsgRx,4576,2,0,dcfdffffffffffff,8
352.620128263,USMsgRx,1933,2,0,d9fdffffffffffff,8
352.722528028,USMsgRx,3236,2,0,dbfdffffffffffff,8
352.919062162,USMsgRx,1239,2,0,dafdffffffffffff,8
353.990630691,USMsgRx,4610,2,0,d6fdffffffffffff,8
354.089903669,USMsgRx,1172,2,0,d7fdffffffffffff,8
354.836998865,USMsgRx,1668,2,0,d4fdffffffffffff,8
355.219359600,USMsgRx,45,2,0,d1fdffffffffffff,8
356.386292893,USMsgRx,4408,2,0,ccfdffffffffffff,8
356.600364707,USMsgRx,4764,2,0,cffdffffffffffff,8
357.576081211,USMsgRx,543,2,0,c9fdffffffffffff,8
357.839062665,USMsgRx,1679,2,0,cafdffffffffffff,8
358.317280356,USMsgRx,2624,2,0,c4fdffffffffffff,8
358.537168982,USMsgRx,3511,2,0,c2fdffffffffffff,8
359.535646844,USMsgRx,2442,2,0,c0fdffffffffffff,8
360.017119605,USMsgRx,2003,2,0,c1fdffffffffffff,8
361.093288592,USMsgRx,4737,2,0,bcfdffffffffffff,8
361.435742079,USMsgRx,3619,2,0,bffdffffffffffff,8
362.540924225,USMsgRx,4212,2,0,b9fdffffffffffff,8
362.899425580,USMsgRx,3628,2,0,bafdffffffffffff,8
363.255474663,USMsgRx,3392,2,0,b0fdffffffffffff,8
364.021849200,USMsgRx,4219,2,0,acfdffffffffffff,8
364.165145988,USMsgRx,4511,2,0,abfdffffffffffff,8
364.472394226,USMsgRx,3342,2,0,affdffffffffffff,8
365.953244377,USMsgRx,4151,2,0,aafdffffffffffff,8
366.132699063,USMsgRx,160,2,0,a8fdffffffffffff,8
366.337697903,USMsgRx,2573,2,0,a4fdffffffffffff,8
366.498089905,USMsgRx,4140,2,0,a2fdffffffffffff,8
366.794365743,USMsgRx,2840,2,0,a0fdffffffffffff,8
369.710026001,USMsgRx,3364,2,0,9bfdffffffffffff,8
369.839257610,USMsgRx,4429,2,0,9cfdffffffffffff,8
371.211477387,USMsgRx,3015,2,0,9afdffffffffffff,8
372.055945135,USMsgRx,4779,2,0,90fdffffffffffff,8
372.208320827,USMsgRx,1024,2,0,94fdffffffffffff,8
372.590716993,USMsgRx,4862,2,0,96fdffffffffffff,8
373.162227949,USMsgRx,700,2,0,8cfdffffffffffff,8
373.837874093,USMsgRx,1440,2,0,8bfdffffffffffff,8
373.918844259,USMsgRx,4159,2,0,8efdffffffffffff,8
373.936977635,USMsgRx,3005,2,0,8afdffffffffffff,8
374.764233112,USMsgRx,4440,2,0,87fdffffffffffff,8
374.789186155,USMsgRx,3075,2,0,88fdffffffffffff,8
375.522182472,USMsgRx,628,2,0,89fdffffffffffff,8
375.692125283,USMsgRx,2617,2,0,85fdffffffffffff,8
376.931188784,USMsgRx,1596,2,0,80fdffffffffffff,8
377.037898412,USMsgRx,2712,2,0,82fdffffffffffff,8
377.236543539,USMsgRx,2343,2,0,7ffdffffffffffff,8
378.507422496,USMsgRx,2471,2,0,78fdffffffffffff,8
379.680555731,USMsgRx,337,2,0,76fdffffffffffff,8
380.689221527,USMsgRx,3787,2,0,75fdffffffffffff,8
381.760499076,USMsgRx,679,2,0,6ffdffffffffffff,8
381.774779820,USMsgRx,4679,2,0,6bfdffffffffffff,8
382.043893474,USMsgRx,4319,2,0,6afdffffffffffff,8
382.410195220,USMsgRx,140,2,0,70fdffffffffffff,8
382.870525865,USMsgRx,1954,2,0,69fdffffffffffff,8
383.873439223,USMsgRx,3890,2,0,63fdffffffffffff,8
385.763709243,USMsgRx,1735,2,0,5efdffffffffffff,8
386.142317912,USMsgRx,4294,2,0,5dfdffffffffffff,8
386.436768263,USMsgRx,4201,2,0,5cfdffffffffffff,8
386.902360678,USMsgRx,4937,2,0,59fdffffffffffff,8
386.917702234,USMsgRx,697,2,0,5afdffffffffffff,8
387.040683482,USMsgRx,2132,2,0,5bfdffffffffffff,8
388.228350009,USMsgRx,4978,2,0,57fdffffffffffff,8
388.251613220,USMsgRx,4360,2,0,58fdffffffffffff,8
388.735386453,USMsgRx,4820,2,0,53fdffffffffffff,8
388.765114484,USMsgRx,2204,2,0,55fdffffffffffff,8
388.964758773,USMsgRx,474,2,0,51fdffffffffffff,8
389.530887775,USMsgRx,3495,2,0,4ffdffffffffffff,8
390.952139841,USMsgRx,3304,2,0,48fdffffffffffff,8
391.423594458,USMsgRx,3577,2,0,4afdffffffffffff,8
391.638214642,USMsgRx,4613,2,0,44fdffffffffffff,8
391.645968628,USMsgRx,496,2,0,45fdffffffffffff,8
392.036683092,USMsgRx,1129,2,0,42fdffffffffffff,8
392.819483001,USMsgRx,2669,2,0,41fdffffffffffff,8
393.822365451,USMsgRx,3789,2,0,3cfdffffffffffff,8
393.903687276,USMsgRx,4279,2,0,3efdffffffffffff,8
394.024279641,USMsgRx,1177,2,0,40fdffffffffffff,8
394.768111864,USMsgRx,3320,2,0,3ffdffffffffffff,8
395.209166896,USMsgRx,1410,2,0,3afdffffffffffff,8
396.560565289,USMsgRx,4934,2,0,38fdffffffffffff,8
397.866643817,USMsgRx,388,2,0,31fdffffffffffff,8
398.315941028,USMsgRx,3093,2,0,30fdffffffffffff,8
398.885871077,USMsgRx,65,2,0,2ffdffffffffffff,8
399.522185383,USMsgRx,3967,2,0,2efdffffffffffff,8
399.861010740,USMsgRx,4631,2,0,2cfdffffffffffff,8
400.279734304,USMsgRx,1214,2,0,2afdffffffffffff,8
400.555722815,USMsgRx,2735,2,0,2dfdffffffffffff,8
401.111649016,USMsgRx,3076,2,0,29fdffffffffffff,8
401.530318761,USMsgRx,1116,2,0,27fdffffffffffff,8
402.170556723,USMsgRx,3261,2,0,28fdffffffffffff,8
402.277002905,USMsgRx,2427,2,0,22fdffffffffffff,8
402.467803702,USMsgRx,716,2,0,26fdffffffffffff,8
403.415513981,USMsgRx,1624,2,0,1ffdffffffffffff,8
404.798017249,USMsgRx,2230,2,0,1dfdffffffffffff,8
405.625819144,USMsgRx,4797,2,0,1cfdffffffffffff,8
406.479279277,USMsgRx,1871,2,0,15fdffffffffffff,8
407.017981021,USMsgRx,1610,2,0,13fdffffffffffff,8
407.374116132,USMsgRx,4447,2,0,17fdffffffffffff,8
407.502649619,USMsgRx,3828,2,0,11fdffffffffffff,8
407.846553372,USMsgRx,726,2,0,10fdffffffffffff,8
408.546167252,USMsgRx,868,2,0,0efdffffffffffff,8
408.722256550,USMsgRx,3410,2,0,12fdffffffffffff,8
408.788408444,USMsgRx,134,2,0,0dfdffffffffffff,8
410.055728774,USMsgRx,4309,2,0,08fdffffffffffff,8
410.519342866,USMsgRx,1891,2,0,03fdffffffffffff,8
411.547403675,USMsgRx,4187,2,0,01fdffffffffffff,8
412.561575679,USMsgRx,3494,2,0,02fdffffffffffff,8
414.123039270,USMsgRx,400,2,0,fdfcffffffffffff,8
414.963743183,USMsgRx,1199,2,0,f7fcffffffffffff,8
416.288902373,USMsgRx,1968,2,0,f1fcffffffffffff,8
416.553158728,USMsgRx,1126,2,0,f2fcffffffffffff,8
418.966589034,USMsgRx,498,2,0,e8fcffffffffffff,8
419.128554162,USMsgRx,4038,2,0,e1fcffffffffffff,8
419.249052262,USMsgRx,2859,2,0,e0fcffffffffffff,8
419.491111958,USMsgRx,2477,2,0,e9fcffffffffffff,8
419.719185711,USMsgRx,2079,2,0,e2fcffffffffffff,8
