Time,TraceSource,NodeId,MsgType,PacketHex,PacketLength
173.397754077,USMsgTx,1388,2,6c0500000001000083ffffffffffffff,16
173.569965385,USMsgTx,1278,2,fe0400000001000082ffffffffffffff,16
173.733584404,USMsgTx,3768,2,b80e00000001000081ffffffffffffff,16
173.975899509,USMsgTx,2960,2,900b00000001000080ffffffffffffff,16
174.072454848,USMsgTx,1019,2,fb030000000100007fffffffffffffff,16
174.417129339,USMsgTx,1864,2,48070000000100007effffffffffffff,16
174.673125667,USMsgTx,205,2,cd000000000100007dffffffffffffff,16
176.856945986,USMsgTx,1835,2,2b070000000100007cffffffffffffff,16
177.285812509,USMsgTx,764,2,fc020000000100007bffffffffffffff,16
178.295589933,USMsgTx,3734,2,960e0000000100007affffffffffffff,16
178.982355125,USMsgTx,2038,2,f60700000001000079ffffffffffffff,16
179.256455316,USMsgTx,2108,2,3c0800000001000078ffffffffffffff,16
179.444643720,USMsgTx,1914,2,7a0700000001000077ffffffffffffff,16
179.982980628,USMsgTx,4120,2,181000000001000076ffffffffffffff,16
181.244954303,USMsgTx,3227,2,9b0c00000001000075ffffffffffffff,16
181.685014090,USMsgTx,704,2,c00200000001000074ffffffffffffff,16
184.037836356,USMsgTx,3038,2,de0b00000001000073ffffffffffffff,16
184.642248578,USMsgTx,2430,2,7e0900000001000072ffffffffffffff,16
185.589473252,USMsgTx,4801,2,c11200000001000071ffffffffffffff,16
185.698512737,USMsgTx,3604,2,140e00000001000070ffffffffffffff,16
185.782570378,USMsgTx,1874,2,52070000000100006fffffffffffffff,16
185.807039390,USMsgTx,3421,2,5d0d0000000100006effffffffffffff,16
185.845270160,USMsgTx,4270,2,ae100000000100006dffffffffffffff,16
186.547226505,USMsgTx,2376,2,48090000000100006cffffffffffffff,16
187.340687533,USMsgTx,1308,2,1c050000000100006bffffffffffffff,16
187.369626892,USMsgTx,73,2,49000000000100006affffffffffffff,16
188.446563271,USMsgTx,209,2,d10000000001000069ffffffffffffff,16
188.549995612,USMsgTx,4916,2,341300000001000068ffffffffffffff,16
189.101457952,USMsgTx,4771,2,a31200000001000067ffffffffffffff,16
191.436917315,USMsgTx,4692,2,541200000001000066ffffffffffffff,16
192.402801014,USMsgTx,1910,2,760700000001000065ffffffffffffff,16
192.523970790,USMsgTx,4098,2,021000000001000064ffffffffffffff,16
192.878439397,USMsgTx,4510,2,9e1100000001000063ffffffffffffff,16
194.636466419,USMsgTx,2891,2,4b0b00000001000062ffffffffffffff,16
195.182067015,USMsgTx,4477,2,7d1100000001000061ffffffffffffff,16
196.394526620,USMsgTx,2939,2,7b0b00000001000060ffffffffffffff,16
196.488152483,USMsgTx,3190,2,760c0000000100005fffffffffffffff,16
196.970108097,USMsgTx,3730,2,920e0000000100005effffffffffffff,16
197.122794459,USMsgTx,1073,2,31040000000100005dffffffffffffff,16
197.126042866,USMsgTx,4965,2,65130000000100005cffffffffffffff,16
197.214698958,USMsgTx,4332,2,ec100000000100005bffffffffffffff,16
197.480751125,USMsgTx,4192,2,60100000000100005affffffffffffff,16
197.519913335,USMsgTx,1490,2,d20500000001000059ffffffffffffff,16
197.832630702,USMsgTx,4811,2,cb1200000001000058ffffffffffffff,16
198.732242112,USMsgTx,3401,2,490d00000001000057ffffffffffffff,16
201.069554504,USMsgTx,2782,2,de0a00000001000056ffffffffffffff,16
201.166726681,USMsgTx,2092,2,2c0800000001000055ffffffffffffff,16
201.609847329,USMsgTx,2206,2,9e0800000001000054ffffffffffffff,16
201.883676505,USMsgTx,4504,2,981100000001000053ffffffffffffff,16
202.298990118,USMsgTx,4700,2,5c1200000001000052ffffffffffffff,16
203.046968213,USMsgTx,1532,2,fc0500000001000051ffffffffffffff,16
204.430999378,USMsgTx,702,2,be0200000001000050ffffffffffffff,16
204.736742862,USMsgTx,3760,2,b00e0000000100004fffffffffffffff,16
205.208410038,USMsgTx,1680,2,90060000000100004effffffffffffff,16
206.614802864,USMsgTx,2274,2,e2080000000100004dffffffffffffff,16
